date,s_af,r_cfs,i_cfs
2015-07-30,178186,NA,1419
2015-07-31,178707,NA,1749
2015-08-01,179516,NA,1891
2015-08-02,178733,NA,1211
2015-08-03,177246,NA,953
2015-08-04,176028,NA,1095
2015-08-05,175330,NA,1185
2015-08-06,175614,NA,1481
2015-08-07,174040,NA,786
2015-08-08,172631,NA,695
2015-08-09,171583,NA,876
2015-08-10,170644,NA,928
2015-08-11,170314,NA,1229
2015-08-12,170466,NA,1471
2015-08-13,170568,NA,1477
2015-08-14,171177,NA,1738
2015-08-15,170441,NA,1184
2015-08-16,169425,NA,1140
2015-08-17,168870,NA,1290
2015-08-18,168014,NA,1099
2015-08-19,166756,NA,886
2015-08-20,165385,NA,816
2015-08-21,163596,NA,572
2015-08-22,161893,NA,561
2015-08-23,160382,NA,678
2015-08-24,159215,NA,889
2015-08-25,158082,NA,989
2015-08-26,157045,NA,1082
2015-08-27,156470,NA,1266
2015-08-28,155849,NA,1166
2015-08-29,156446,NA,1541
2015-08-30,156446,NA,949
2015-08-31,157648,NA,1216
2015-09-01,158805,NA,1055
2015-09-02,159579,NA,859
2015-09-03,160382,NA,881
2015-09-04,160795,NA,605
2015-09-05,161819,NA,850
2015-09-06,162609,NA,758
2015-09-07,164090,NA,1135
2015-09-08,165933,NA,1343
2015-09-09,168342,NA,1655
2015-09-10,169375,NA,993
2015-09-11,170364,NA,895
2015-09-12,172017,NA,1177
2015-09-13,173272,NA,977
2015-09-14,174296,NA,830
2015-09-15,175692,NA,1040
2015-09-16,177899,NA,1449
2015-09-17,179333,NA,1055
2015-09-18,181226,NA,1243
2015-09-19,182785,NA,1062
2015-09-20,184670,NA,1303
2015-09-21,186410,NA,1310
2015-09-22,188078,NA,1326
2015-09-23,189325,NA,1108
2015-09-24,190821,NA,1196
2015-09-25,192353,NA,1148
2015-09-26,194417,NA,1414
2015-09-27,195272,NA,809
2015-09-28,194831,NA,221
2015-09-29,194031,NA,89
2015-09-30,193148,NA,41
2015-10-01,192380,NA,29
2015-10-02,191724,NA,51
2015-10-03,191177,NA,33
2015-10-04,190603,NA,45
2015-10-05,189948,NA,52
2015-10-06,189271,NA,54
2015-10-07,188783,NA,48
2015-10-08,188431,NA,61
2015-10-09,188024,NA,97
2015-10-10,187375,NA,53
2015-10-11,186678,NA,30
2015-10-12,185901,NA,69
2015-10-13,184990,NA,51
2015-10-14,184139,NA,55
2015-10-15,183475,NA,67
2015-10-16,182918,NA,7
2015-10-17,182546,NA,47
2015-10-18,182254,NA,83
2015-10-19,181911,NA,50
2015-10-20,181595,NA,59
2015-10-21,181253,NA,49
2015-10-22,180884,NA,33
2015-10-23,180332,NA,52
2015-10-24,179622,NA,60
2015-10-25,178838,NA,24
2015-10-26,177977,NA,39
2015-10-27,177011,NA,29
2015-10-28,176131,NA,69
2015-10-29,175252,NA,35
2015-10-30,174399,NA,9
2015-10-31,173733,NA,45
2015-11-01,173118,NA,21
2015-11-02,172964,NA,249
2015-11-03,172759,NA,95
2015-11-04,172452,NA,40
2015-11-05,172094,NA,9
2015-11-06,171812,NA,43
2015-11-07,171557,NA,61
2015-11-08,171202,NA,6
2015-11-09,170974,NA,68
2015-11-10,170694,NA,41
2015-11-11,170314,NA,66
2015-11-12,169755,NA,24
2015-11-13,169197,NA,22
2015-11-14,168669,NA,45
2015-11-15,168392,NA,86
2015-11-16,168115,NA,42
2015-11-17,167662,NA,21
2015-11-18,167058,NA,1
2015-11-19,166531,NA,35
2015-11-20,166008,NA,39
2015-11-21,165460,NA,23
2015-11-22,164937,NA,39
2015-11-23,164438,NA,47
2015-11-24,163942,NA,41
2015-11-25,163374,NA,23
2015-11-26,162831,NA,48
2015-11-27,162436,NA,114
2015-11-28,162609,NA,399
2015-11-29,162634,NA,344
2015-11-30,162683,NA,282
2015-12-01,162880,NA,286
2015-12-02,163029,NA,260
2015-12-03,162856,NA,104
2015-12-04,162609,NA,66
2015-12-05,162362,NA,62
2015-12-06,162066,NA,41
2015-12-07,161918,NA,106
2015-12-08,161769,NA,100
2015-12-09,161525,NA,53
2015-12-10,161209,NA,114
2015-12-11,160771,NA,104
2015-12-12,160187,NA,31
2015-12-13,160674,NA,571
2015-12-14,161525,NA,729
2015-12-15,161942,NA,497
2015-12-16,162658,NA,578
2015-12-17,163547,NA,622
2015-12-18,164613,NA,710
2015-12-19,165734,NA,742
2015-12-20,166556,NA,588
2015-12-21,167662,NA,733
2015-12-22,170111,NA,1410
2015-12-23,172042,NA,1158
2015-12-24,172759,NA,537
2015-12-25,173323,NA,460
2015-12-26,173758,NA,454
2015-12-27,174245,NA,553
2015-12-28,174710,NA,460
2015-12-29,175614,NA,633
2015-12-30,176312,NA,520
2015-12-31,177038,NA,530
2016-01-01,177533,NA,415
2016-01-02,178238,NA,519
2016-01-03,178786,NA,434
2016-01-04,179229,NA,453
2016-01-05,180095,NA,725
2016-01-06,182227,NA,1265
2016-01-07,184564,NA,1328
2016-01-08,185151,NA,444
2016-01-09,185982,NA,568
2016-01-10,186625,NA,473
2016-01-11,187294,NA,487
2016-01-12,187997,NA,511
2016-01-13,188539,NA,421
2016-01-14,189379,NA,571
2016-01-15,190220,NA,576
2016-01-16,190876,NA,490
2016-01-17,191505,NA,470
2016-01-18,192353,NA,584
2016-01-19,193672,NA,819
2016-01-20,195244,NA,948
2016-01-21,196326,NA,702
2016-01-22,197244,NA,617
2016-01-23,198469,NA,775
2016-01-24,199760,NA,805
2016-01-25,201023,NA,793
2016-01-26,201926,NA,611
2016-01-27,202719,NA,554
2016-01-28,203511,NA,542
2016-01-29,204363,NA,561
2016-01-30,205362,NA,638
2016-01-31,208343,NA,1632
2016-02-01,210945,NA,1443
2016-02-02,212775,NA,1028
2016-02-03,213770,NA,711
2016-02-04,215323,NA,1048
2016-02-05,216501,NA,858
2016-02-06,218448,NA,1130
2016-02-07,220472,NA,1121
2016-02-08,222143,NA,945
2016-02-09,222983,NA,517
2016-02-10,224364,NA,806
2016-02-11,226330,NA,1122
2016-02-12,228486,NA,1237
2016-02-13,230133,NA,982
2016-02-14,230960,NA,569
2016-02-15,231575,NA,470
2016-02-16,232744,NA,807
2016-02-17,234876,NA,1330
2016-02-18,237674,NA,1659
2016-02-19,240618,NA,1758
2016-02-20,243426,NA,1714
2016-02-21,245840,NA,1647
2016-02-22,248137,NA,1528
2016-02-23,250766,NA,1617
2016-02-24,253573,NA,1716
2016-02-25,256529,NA,1785
2016-02-26,259704,NA,1902
2016-02-27,262505,NA,1694
2016-02-28,265028,NA,1549
2016-02-29,267531,NA,1547
2016-03-01,270250,NA,1768
2016-03-02,272408,NA,1592
2016-03-03,274650,NA,1455
2016-03-04,277413,NA,1646
2016-03-05,NA,NA,NA
2016-03-06,NA,NA,NA
2016-03-07,NA,NA,NA
2016-03-08,303885,NA,2671
2016-03-09,309075,NA,2760
2016-03-10,314242,NA,2793
2016-03-11,319662,NA,2932
2016-03-12,324985,NA,2901
2016-03-13,330057,NA,2764
2016-03-14,335372,NA,3025
2016-03-15,339084,NA,2355
2016-03-16,343440,NA,2552
2016-03-17,348879,NA,3094
2016-03-18,352878,NA,2552
2016-03-19,356531,NA,2462
2016-03-20,359536,NA,2547
2016-03-21,361279,NA,2492
2016-03-22,361637,NA,2309
2016-03-23,361717,NA,2605
2016-03-24,361279,NA,2590
2016-03-25,360445,NA,2300
2016-03-26,359654,NA,2322
2016-03-27,358270,NA,2432
2016-03-28,356099,NA,2526
2016-03-29,352956,NA,2528
2016-03-30,349035,NA,2317
2016-03-31,345491,NA,2419
2016-04-01,342163,NA,2291
2016-04-02,339852,NA,2653
2016-04-03,337012,NA,2737
2016-04-04,332027,NA,2227
2016-04-05,326106,NA,1982
2016-04-06,319958,NA,1805
2016-04-07,314352,NA,1737
2016-04-08,310864,NA,2503
2016-04-09,310754,NA,3424
2016-04-10,308966,NA,2389
2016-04-11,306673,NA,1941
2016-04-12,304862,NA,2038
2016-04-13,303885,NA,2258
2016-04-14,302986,NA,2350
2016-04-15,301655,NA,2260
2016-04-16,300003,NA,2138
2016-04-17,297897,NA,2116
2016-04-18,295834,NA,2351
2016-04-19,293317,NA,2253
2016-04-20,290537,NA,2384
2016-04-21,288227,NA,2252
2016-04-22,287563,NA,2347
2016-04-23,287982,NA,2147
2016-04-24,288820,NA,2283
2016-04-25,288995,NA,2257
2016-04-26,289449,NA,2283
2016-04-27,290537,NA,2252
2016-04-28,291487,NA,2125
2016-04-29,292719,NA,1994
2016-04-30,294558,NA,2069
2016-05-01,296188,NA,2159
2016-05-02,297219,NA,2193
2016-05-03,297719,NA,2018
2016-05-04,297719,NA,1703
2016-05-05,298790,NA,2082
2016-05-06,300684,NA,2338
2016-05-07,302662,NA,2300
2016-05-08,303705,NA,2108
2016-05-09,303885,NA,2040
2016-05-10,304247,NA,2362
2016-05-11,304355,NA,2284
2016-05-12,304609,NA,2215
2016-05-13,305406,NA,2202
2016-05-14,307325,NA,2272
2016-05-15,309404,NA,2333
2016-05-16,311339,NA,2479
2016-05-17,313139,NA,2469
2016-05-18,315308,NA,2639
2016-05-19,317481,NA,2638
2016-05-20,320923,NA,3140
2016-05-21,324947,NA,3259
2016-05-22,328664,NA,3142
2016-05-23,332557,NA,3394
2016-05-24,336059,NA,3322
2016-05-25,339699,NA,3394
2016-05-26,343324,NA,3420
2016-05-27,347127,NA,3414
2016-05-28,350721,NA,3403
2016-05-29,353938,NA,3360
2016-05-30,357122,NA,3555
2016-05-31,360010,NA,3486
2016-06-01,361916,NA,3417
2016-06-02,363111,NA,3411
2016-06-03,369962,NA,6186
2016-06-04,378933,NA,6820
2016-06-05,386377,NA,6016
2016-06-06,394157,NA,6328
2016-06-07,401670,NA,6313
2016-06-08,408333,NA,5919
2016-06-09,414670,NA,5705
2016-06-10,423027,NA,6473
2016-06-11,425999,NA,3524
2016-06-12,429024,NA,3594
2016-06-13,433652,NA,4608
2016-06-14,435910,NA,3614
2016-06-15,NA,NA,NA
2016-06-16,440528,NA,3615
2016-06-17,442358,NA,3296
2016-06-18,444728,NA,3423
2016-06-19,446612,NA,3459
2016-06-20,447872,NA,3431
2016-06-21,448996,NA,3404
2016-06-22,449356,NA,3073
2016-06-23,450213,NA,3236
2016-06-24,450530,NA,2612
2016-06-25,452023,NA,3001
2016-06-26,452928,NA,2888
2016-06-27,453380,NA,2889
2016-06-28,453380,NA,2881
2016-06-29,452521,NA,2608
2016-06-30,451616,NA,2519
2016-07-01,450665,NA,2305
2016-07-02,450168,NA,2294
2016-07-03,449401,NA,2198
2016-07-04,448457,NA,2194
2016-07-05,448052,NA,2594
2016-07-06,446208,NA,1993
2016-07-07,444325,NA,1937
2016-07-08,443163,NA,2102
2016-07-09,442224,NA,2095
2016-07-10,440439,NA,1848
2016-07-11,438618,NA,2187
2016-07-12,435821,NA,1976
2016-07-13,432856,NA,2045
2016-07-14,430035,NA,2206
2016-07-15,427092,NA,2044
2016-07-16,423813,NA,1818
2016-07-17,420073,NA,1813
2016-07-18,416052,NA,1888
2016-07-19,411967,NA,1913
2016-07-20,407268,NA,1769
2016-07-21,401501,NA,1800
2016-07-22,396373,NA,2036
2016-07-23,391361,NA,1795
2016-07-24,387039,NA,2270
2016-07-25,382129,NA,2201
2016-07-26,376645,NA,2120
2016-07-27,370688,NA,1729
2016-07-28,364305,NA,1372
2016-07-29,360050,NA,2036
2016-07-30,356610,NA,2010
2016-07-31,352838,NA,1980
2016-08-01,347555,NA,1377
2016-08-02,342279,NA,1463
2016-08-03,336745,NA,1345
2016-08-04,331345,NA,1117
2016-08-05,326595,NA,1291
2016-08-06,321368,NA,776
2016-08-07,316082,NA,893
2016-08-08,311046,NA,1173
2016-08-09,306420,NA,1168
2016-08-10,301331,NA,865
2016-08-11,298183,NA,1353
2016-08-12,295869,NA,1335
2016-08-13,294381,NA,1265
2016-08-14,293247,NA,1542
2016-08-15,291558,NA,1545
2016-08-16,289100,NA,1289
2016-08-17,286865,NA,1415
2016-08-18,284815,NA,1479
2016-08-19,282978,NA,1381
2016-08-20,281119,NA,1046
2016-08-21,279124,NA,1062
2016-08-22,276865,NA,1112
2016-08-23,274140,NA,951
2016-08-24,272341,NA,1471
2016-08-25,270149,NA,1273
2016-08-26,268067,NA,1132
2016-08-27,266093,NA,885
2016-08-28,264298,NA,993
2016-08-29,262505,NA,1154
2016-08-30,260890,NA,1373
2016-08-31,259177,NA,1535
2016-09-01,257576,NA,1462
2016-09-02,256464,NA,1307
2016-09-03,255454,NA,1114
2016-09-04,254157,NA,959
2016-09-05,252407,NA,922
2016-09-06,250766,NA,1145
2016-09-07,248712,NA,1027
2016-09-08,247466,NA,1466
2016-09-09,246413,NA,1357
2016-09-10,246031,NA,1407
2016-09-11,245745,NA,1537
2016-09-12,245459,NA,1745
2016-09-13,244474,NA,1531
2016-09-14,242761,NA,1195
2016-09-15,241595,NA,1381
2016-09-16,240523,NA,1219
2016-09-17,239893,NA,1208
2016-09-18,239206,NA,1310
2016-09-19,238268,NA,1340
2016-09-20,237143,NA,1373
2016-09-21,235652,NA,1317
2016-09-22,234039,NA,1127
2016-09-23,233083,NA,1175
2016-09-24,233021,NA,1322
