date,s_af,r_cfs,i_cfs
1988-10-01,5140.94,NA,15.69
1988-10-02,5178.6,NA,19.41
1988-10-03,5216.62,NA,19.97
1988-10-04,5256.03,NA,20.55
1988-10-05,5296.27,NA,21.11
1988-10-06,5336.11,NA,20.65
1988-10-07,5375.95,NA,20.88
1988-10-08,5416.19,NA,21.15
1988-10-09,5456.03,NA,21.03
1988-10-10,5496.27,NA,21.27
1988-10-11,5536.11,NA,21.03
1988-10-12,5576.34,NA,21.27
1988-10-13,5616.19,NA,21.29
1988-10-14,5656.03,NA,21.21
1988-10-15,5696.27,NA,21.27
1988-10-16,5736.11,NA,21.11
1988-10-17,5776.34,NA,21.51
1988-10-18,5816.19,NA,21.52
1988-10-19,5856.03,NA,21.46
1988-10-20,5896.27,NA,21.83
1988-10-21,5936.11,NA,21.36
1988-10-22,5976.34,NA,21.58
1988-10-23,6016.19,NA,21.62
1988-10-24,6056.42,NA,21.72
1988-10-25,6096.27,NA,21.63
1988-10-26,6136.11,NA,21.51
1988-10-27,6176.34,NA,21.82
1988-10-28,6216.19,NA,20.93
1988-10-29,6256.42,NA,21.17
1988-10-30,6296.27,NA,20.73
1988-10-31,6336.11,NA,20.52
1988-11-01,6376.34,NA,20.87
1988-11-02,6416.19,NA,20.53
1988-11-03,6458.69,NA,21.91
1988-11-04,6501.32,NA,22.01
1988-11-05,6543.96,NA,22.05
1988-11-06,6587.01,NA,22.29
1988-11-07,6629.64,NA,22.12
1988-11-08,6672.69,NA,22.37
1988-11-09,6715.32,NA,22.19
1988-11-10,6758.38,NA,22.44
1988-11-11,6801.01,NA,22.26
1988-11-12,6843.64,NA,22.3
1988-11-13,6888.47,NA,23.45
1988-11-14,6933.3,NA,23.48
1988-11-15,6978.56,NA,23.73
1988-11-16,7023.39,NA,23.55
1988-11-17,7140.28,NA,59.92
1988-11-18,7239.16,NA,50.84
1988-11-19,7330.94,NA,47.26
1988-11-20,7378.55,NA,24.99
1988-11-21,7407.5,NA,15.58
1988-11-22,7407.5,NA,0.99
1988-11-23,7388.36,NA,-8.66
1988-11-24,7455.11,NA,34.64
1988-11-25,7589.08,NA,68.53
1988-11-26,7608.22,NA,10.64
1988-11-27,7674.97,NA,34.64
1988-11-28,7684.77,NA,5.93
1988-11-29,7684.77,NA,0.99
1988-11-30,7694.11,NA,5.69
1988-12-01,7742.19,NA,25.23
1988-12-02,7751.53,NA,5.69
1988-12-03,7820.53,NA,35.78
1988-12-04,7860.08,NA,20.93
1988-12-05,7880.1,NA,11.08
1988-12-06,7910.37,NA,16.25
1988-12-07,7889.86,NA,-9.35
1988-12-08,7889.86,NA,0.99
1988-12-09,7909.88,NA,11.08
1988-12-10,8040.25,NA,66.72
1988-12-11,8030,NA,-4.18
1988-12-12,8079.8,NA,26.1
1988-12-13,8110.08,NA,16.25
1988-12-14,8170.14,NA,31.27
1988-12-15,8199.92,NA,16
1988-12-16,8210.18,NA,6.16
1988-12-17,8270.23,NA,31.27
1988-12-18,8311.45,NA,21.77
1988-12-19,8364.56,NA,27.76
1988-12-20,8301.14,NA,-30.99
1988-12-21,8364.56,NA,32.96
1988-12-22,8396.02,NA,16.84
1988-12-23,8491.41,NA,49.08
1988-12-24,8512.55,NA,11.65
1988-12-25,8491.41,NA,-9.67
1988-12-26,8586.28,NA,48.82
1988-12-27,8628.56,NA,22.3
1988-12-28,8638.88,NA,6.19
1988-12-29,8670.84,NA,17.1
1988-12-30,8691.98,NA,11.65
1988-12-31,8734.27,NA,22.3
