date,s_af,r_cfs,i_cfs
2015-01-01,57115,NA,-31.1
2015-01-02,57115,NA,20.7
2015-01-03,57060,NA,-31.6
2015-01-04,57046,NA,9.7
2015-01-05,57018,NA,-4.6
2015-01-06,56991,NA,7.7
2015-01-07,56991,NA,19.7
2015-01-08,56977,NA,-26.5
2015-01-09,56963,NA,40.9
2015-01-10,56935,NA,-7.3
2015-01-11,57005,NA,17.4
2015-01-12,57005,NA,2.2
2015-01-13,56977,NA,-7.6
2015-01-14,56963,NA,20.3
2015-01-15,56921,NA,-11
2015-01-16,56894,NA,-5.8
2015-01-17,56866,NA,-3.1
2015-01-18,56866,NA,11.2
2015-01-19,56880,NA,2.1
2015-01-20,56894,NA,4.1
2015-01-21,56907,NA,6.2
2015-01-22,56921,NA,7.4
2015-01-23,56921,NA,-4.4
2015-01-24,56935,NA,12.1
2015-01-25,56921,NA,-16.3
2015-01-26,56949,NA,29.3
2015-01-27,56963,NA,-11
2015-01-28,56977,NA,13.4
2015-01-29,56991,NA,2.4
2015-01-30,56991,NA,3.2
2015-01-31,56977,NA,12
2015-02-01,56949,NA,7.2
2015-02-02,56935,NA,6.4
2015-02-03,56921,NA,3
2015-02-04,56907,NA,6
2015-02-05,56907,NA,15.3
2015-02-06,56907,NA,13.9
2015-02-07,56866,NA,-26.2
2015-02-08,56935,NA,37.1
2015-02-09,56949,NA,7.2
2015-02-10,56949,NA,20.7
2015-02-11,56935,NA,3.8
2015-02-12,56935,NA,16.7
2015-02-13,56921,NA,-8.9
2015-02-14,56921,NA,17.4
2015-02-15,56907,NA,4.8
2015-02-16,56907,NA,-1.1
2015-02-17,56907,NA,-2
2015-02-18,56921,NA,16.7
2015-02-19,56894,NA,-14.1
2015-02-20,56907,NA,23.5
2015-02-21,56907,NA,11.1
2015-02-22,56894,NA,0.1
2015-02-23,56907,NA,10.2
2015-02-24,56880,NA,-16.9
2015-02-25,56880,NA,11.1
2015-02-26,56880,NA,9.5
2015-02-27,56880,NA,10.1
2015-02-28,56852,NA,-17.8
2015-03-01,56866,NA,7.8
2015-03-02,56852,NA,-18.7
2015-03-03,56852,NA,-13
2015-03-04,56894,NA,32.2
2015-03-05,56907,NA,5
2015-03-06,56907,NA,-4.9
2015-03-07,56935,NA,25
2015-03-08,56921,NA,-14.3
2015-03-09,56935,NA,10
2015-03-10,56935,NA,18
2015-03-11,56921,NA,10
2015-03-12,56921,NA,6.7
2015-03-13,56921,NA,20.3
2015-03-14,56894,NA,13.9
2015-03-15,56880,NA,25.2
2015-03-16,56852,NA,5.6
2015-03-17,56852,NA,16.3
2015-03-18,56824,NA,-15.1
2015-03-19,56797,NA,5.4
2015-03-20,56783,NA,35.8
2015-03-21,56783,NA,36.6
2015-03-22,56713,NA,-50.5
2015-03-23,56713,NA,7
2015-03-24,56700,NA,16.4
2015-03-25,56686,NA,21.8
2015-03-26,56603,NA,-14.3
2015-03-27,56548,NA,35.1
2015-03-28,56466,NA,6.5
2015-03-29,56411,NA,22
2015-03-30,56356,NA,14.4
2015-03-31,56288,NA,0.8
2015-04-01,54095,NA,-2136.7
2015-04-02,54054,NA,17.4
2015-04-03,53999,NA,-15.3
2015-04-04,53959,NA,20
2015-04-05,53945,NA,19.3
2015-04-06,53918,NA,-3.5
2015-04-07,53878,NA,-6.9
2015-04-08,53878,NA,-2.7
2015-04-09,53865,NA,5.3
2015-04-10,53865,NA,18.3
2015-04-11,53851,NA,4.7
2015-04-12,53838,NA,10.2
2015-04-13,53825,NA,18.9
2015-04-14,53771,NA,-15.2
2015-04-15,53758,NA,29.5
2015-04-16,53744,NA,23.6
2015-04-17,53704,NA,17.3
2015-04-18,53637,NA,4
2015-04-19,53583,NA,9.4
2015-04-20,53543,NA,25.7
2015-04-21,53503,NA,1.6
2015-04-22,53490,NA,4.8
2015-04-23,53476,NA,17.4
2015-04-24,53436,NA,0.9
2015-04-25,53382,NA,-3.1
2015-04-26,53369,NA,-4
2015-04-27,53329,NA,5.9
2015-04-28,53235,NA,3.7
2015-04-29,53181,NA,60.1
2015-04-30,53088,NA,11.2
2015-05-01,52980,NA,21.5
2015-05-02,52887,NA,21
2015-05-03,52806,NA,15.5
2015-05-04,52739,NA,22.6
2015-05-05,52645,NA,0.4
2015-05-06,52579,NA,15.2
2015-05-07,52513,NA,9.5
2015-05-08,52474,NA,-8.6
2015-05-09,52447,NA,16.7
2015-05-10,52395,NA,-5.1
2015-05-11,52355,NA,17.6
2015-05-12,52315,NA,11.5
2015-05-13,52263,NA,11.9
2015-05-14,52210,NA,16.4
2015-05-15,52157,NA,-19.3
2015-05-16,52131,NA,5.5
2015-05-17,52117,NA,14.9
2015-05-18,52104,NA,15.8
2015-05-19,52065,NA,7.8
2015-05-20,52025,NA,8
2015-05-21,51959,NA,5.5
2015-05-22,51893,NA,-1.1
2015-05-23,51853,NA,26.2
2015-05-24,51787,NA,-8.8
2015-05-25,51748,NA,26
2015-05-26,51708,NA,21.8
2015-05-27,51655,NA,5.2
2015-05-28,51603,NA,0.2
2015-05-29,51550,NA,18.4
2015-05-30,51497,NA,11.7
2015-05-31,51444,NA,10.6
2015-06-01,51391,NA,7.6
2015-06-02,51312,NA,5
2015-06-03,51234,NA,19.6
2015-06-04,51156,NA,16.2
2015-06-05,51091,NA,8.2
2015-06-06,51013,NA,-2.8
2015-06-07,50961,NA,26.7
2015-06-08,50896,NA,22.1
2015-06-09,50844,NA,31.5
2015-06-10,50870,NA,22.7
2015-06-11,50804,NA,3.6
2015-06-12,50752,NA,5.7
2015-06-13,50726,NA,39
2015-06-14,50674,NA,-6.4
2015-06-15,50622,NA,17.1
2015-06-16,50583,NA,6.6
2015-06-17,50557,NA,24.1
2015-06-18,50518,NA,22.1
2015-06-19,50466,NA,12.8
2015-06-20,50401,NA,14.8
2015-06-21,50336,NA,20.6
2015-06-22,50270,NA,7.2
2015-06-23,50218,NA,21
2015-06-24,50140,NA,0.2
2015-06-25,50049,NA,9.9
2015-06-26,49972,NA,20.7
2015-06-27,49882,NA,16.9
2015-06-28,49818,NA,10.5
2015-06-29,49766,NA,26.2
2015-06-30,49689,NA,11.1
2015-07-01,49599,NA,28.7
2015-07-02,49548,NA,33.2
2015-07-03,49458,NA,4.8
2015-07-04,49368,NA,3.2
2015-07-05,49291,NA,14.2
2015-07-06,49239,NA,13.3
2015-07-07,49201,NA,8.4
2015-07-08,49150,NA,20.1
2015-07-09,49085,NA,9.4
2015-07-10,49008,NA,-0.5
2015-07-11,48931,NA,11.4
2015-07-12,48880,NA,27.7
2015-07-13,48803,NA,6.8
2015-07-14,48738,NA,12.7
2015-07-15,48650,NA,2.4
2015-07-16,48574,NA,26.8
2015-07-17,48498,NA,15.8
2015-07-18,48410,NA,6.3
2015-07-19,48347,NA,12.7
2015-07-20,48309,NA,23.1
2015-07-21,48258,NA,5.7
2015-07-22,48220,NA,42
2015-07-23,48145,NA,-2
2015-07-24,48044,NA,-4.9
2015-07-25,47968,NA,39.1
2015-07-26,47879,NA,6
2015-07-27,47816,NA,16.3
2015-07-28,47753,NA,13.8
2015-07-29,47677,NA,17.6
2015-07-30,47601,NA,21.4
2015-07-31,47526,NA,29.2
2015-08-01,47438,NA,24.4
2015-08-02,47351,NA,20
2015-08-03,47252,NA,7.8
2015-08-04,46917,NA,24.9
2015-08-05,46533,NA,20.2
2015-08-06,46150,NA,26.2
2015-08-07,45774,NA,33.9
2015-08-08,45397,NA,35.4
2015-08-09,45033,NA,33.4
2015-08-10,44676,NA,33
2015-08-11,44283,NA,16.8
2015-08-12,43915,NA,27.4
2015-08-13,43540,NA,35.7
2015-08-14,43155,NA,36.2
2015-08-15,42781,NA,45.7
2015-08-16,42411,NA,56.1
2015-08-17,42043,NA,45.9
2015-08-18,41709,NA,56.9
2015-08-19,41343,NA,28.6
2015-08-20,41013,NA,33.2
2015-08-21,40740,NA,28.6
2015-08-22,40524,NA,32.2
2015-08-23,40219,NA,31.4
2015-08-24,39905,NA,21.3
2015-08-25,39579,NA,34.8
2015-08-26,39243,NA,45.9
2015-08-27,38912,NA,52.1
2015-08-28,38647,NA,35.6
2015-08-29,38437,NA,59.4
2015-08-30,38228,NA,37.8
2015-08-31,38010,NA,16.3
2015-09-01,37793,NA,29.4
2015-09-02,37544,NA,13.5
2015-09-03,37306,NA,23.1
2015-09-04,37089,NA,26.5
2015-09-05,36855,NA,16.4
2015-09-06,36642,NA,17.6
2015-09-07,36451,NA,36.5
2015-09-08,36238,NA,16.8
2015-09-09,36047,NA,39.8
2015-09-10,35838,NA,43.9
2015-09-11,35671,NA,34.6
2015-09-12,35484,NA,32.6
2015-09-13,35286,NA,16.1
2015-09-14,35088,NA,18.4
2015-09-15,34912,NA,18.2
2015-09-16,34719,NA,2.9
2015-09-17,34535,NA,19.1
2015-09-18,34352,NA,16.2
2015-09-19,34169,NA,20.4
2015-09-20,33996,NA,35.3
2015-09-21,33816,NA,31.6
2015-09-22,33676,NA,24.8
2015-09-23,33557,NA,20.2
2015-09-24,33447,NA,11.4
2015-09-25,33367,NA,24.7
2015-09-26,33288,NA,12.6
2015-09-27,33218,NA,23.9
2015-09-28,33138,NA,4.1
2015-09-29,33069,NA,16.8
2015-09-30,32989,NA,6.4
2015-10-01,32900,NA,4
2015-10-02,32822,NA,10
2015-10-03,32744,NA,8.8
2015-10-04,32666,NA,4.1
2015-10-05,32607,NA,13.1
2015-10-06,32548,NA,9
2015-10-07,32499,NA,9
2015-10-08,32441,NA,9
2015-10-09,32382,NA,10.4
2015-10-10,32333,NA,18.1
2015-10-11,32274,NA,13.8
2015-10-12,32225,NA,21.9
2015-10-13,32176,NA,16.7
2015-10-14,32128,NA,18.9
2015-10-15,32088,NA,2.3
2015-10-16,32030,NA,4.8
2015-10-17,31981,NA,13.8
2015-10-18,31923,NA,4.5
2015-10-19,31865,NA,3.5
2015-10-20,31817,NA,12.4
2015-10-21,31769,NA,14.6
2015-10-22,31673,NA,-16.9
2015-10-23,31606,NA,11.9
2015-10-24,31539,NA,15.3
2015-10-25,31481,NA,8
2015-10-26,31424,NA,4.8
2015-10-27,31366,NA,15.6
2015-10-28,31299,NA,-4.8
2015-10-29,31222,NA,-7.5
2015-10-30,31126,NA,19.3
2015-10-31,31030,NA,15.2
2015-11-01,30955,NA,17.8
2015-11-02,30889,NA,14
2015-11-03,30851,NA,-14.6
2015-11-04,30804,NA,9.3
2015-11-05,30757,NA,2
2015-11-06,30710,NA,2.7
2015-11-07,30673,NA,11.4
2015-11-08,30626,NA,2.8
2015-11-09,30579,NA,1.5
