date,s_af,r_cfs,i_cfs
1990-09-30,7699,NA,NA
1990-10-01,7699,NA,4
1990-10-02,7699,NA,4
1990-10-03,8847,NA,772
1990-10-04,8425,NA,-207
1990-10-05,14868,NA,3263
1990-10-06,14868,NA,9
1990-10-07,14868,NA,2
1990-10-08,14868,NA,1
1990-10-09,11935,NA,-1478
1990-10-10,12856,NA,464
1990-10-11,13447,NA,303
1990-10-12,14018,NA,292
1990-10-13,14509,NA,255
1990-10-14,16885,NA,1202
1990-10-15,21218,NA,2189
1990-10-16,21567,NA,180
1990-10-17,16997,NA,-2298
1990-10-18,6261,NA,-5411
1990-10-19,6282,NA,11
1990-10-20,6261,NA,-9
1990-10-21,6275,NA,8
1990-10-22,7912,NA,831
1990-10-23,18190,NA,5183
1990-10-24,18139,NA,-25
1990-10-25,18074,NA,-26
1990-10-26,18100,NA,19
1990-10-27,18036,NA,-32
1990-10-28,17972,NA,-31
1990-10-29,18023,NA,32
1990-10-30,18074,NA,32
1990-10-31,17933,NA,-66
1990-11-01,18049,NA,-178
1990-11-02,18049,NA,-4
1990-11-03,18049,NA,1
1990-11-04,18049,NA,1
1990-11-05,18049,NA,213
1990-11-06,18049,NA,14
1990-11-07,18049,NA,-18
1990-11-08,18049,NA,-5
1990-11-09,18049,NA,-23
1990-11-10,18049,NA,1
1990-11-11,18049,NA,-44
1990-11-12,18049,NA,8
1990-11-13,18049,NA,7
1990-11-14,18023,NA,-29
1990-11-15,17984,NA,146
1990-11-16,17997,NA,-23
1990-11-17,18049,NA,27
1990-11-18,17907,NA,-71
1990-11-19,17869,NA,-12
1990-11-20,17869,NA,3
1990-11-21,18049,NA,94
1990-11-22,18049,NA,1
1990-11-23,18049,NA,1
1990-11-24,18049,NA,1
1990-11-25,18049,NA,1
1990-11-26,18049,NA,26
1990-11-27,18049,NA,1
1990-11-28,18049,NA,1
1990-11-29,17920,NA,-64
1990-11-30,17920,NA,9
1990-12-01,17920,NA,1
1990-12-02,17920,NA,1
1990-12-03,17920,NA,1
1990-12-04,17920,NA,1
1990-12-05,17920,NA,1
1990-12-06,17792,NA,-64
1990-12-07,17792,NA,1
1990-12-08,17792,NA,1
1990-12-09,17792,NA,1
1990-12-10,17792,NA,1
1990-12-11,17792,NA,1
1990-12-12,17792,NA,1
1990-12-13,17792,NA,1
1990-12-14,17665,NA,-63
1990-12-15,17665,NA,1
1990-12-16,17601,NA,1
1990-12-17,17538,NA,1
1990-12-18,17538,NA,1
1990-12-19,17538,NA,1
1990-12-20,17475,NA,65
1990-12-21,17411,NA,1
1990-12-22,17411,NA,-63
1990-12-23,17411,NA,1
1990-12-24,17411,NA,1
1990-12-25,17411,NA,1
1990-12-26,17411,NA,1
1990-12-27,17411,NA,-127
1990-12-28,17411,NA,1
1990-12-29,17411,NA,-63
1990-12-30,17411,NA,1
1990-12-31,17285,NA,103
1991-01-01,17411,NA,1
1991-01-02,17411,NA,1
1991-01-03,17411,NA,1
1991-01-04,17386,NA,1
1991-01-05,17361,NA,1
1991-01-06,17348,NA,1
1991-01-07,17348,NA,1
1991-01-08,17348,NA,1
1991-01-09,17348,NA,1
1991-01-10,17348,NA,1
1991-01-11,17348,NA,1
1991-01-12,17348,NA,1
1991-01-13,17348,NA,1
1991-01-14,17348,NA,1
1991-01-15,17310,NA,1
1991-01-16,17285,NA,1
1991-01-17,17285,NA,1
